ccn,provider_name,city,zip_code,county,ownership_type,certified_beds,overall_rating,health_inspection_rating,qm_rating,staffing_rating,aide_hours,rn_hours,total_nursing_hours,staff_turnover,total_fines,total_penalties,latitude,longitude
505517,Washington Veteran Home-Retsil,PT ORCHARD,98366,Kitsap,Government - State,240,4,2,5,5,2.54336,0.94462,3.94593,44.5,23920,2,47.5467,-122.61
505518,BRIARWOOD AT TIMBER RIDGE,ISSAQUAH,98027,King,For profit - Corporation,45,5,4,5,5,2.98242,0.90075,4.66488,22.9,0,0,47.5311,-122.07
505519,BENSON HEIGHTS REHABILITATION CENTER,KENT,98031,King,For profit - Limited Liability company,91,4,3,4,5,2.89451,0.75376,4.403,42.1,29075,1,47.4011,-122.2
505520,Mirabella,SEATTLE,98109,King,Non profit - Corporation,46,4,3,4,5,2.73528,1.40475,4.56068,38.9,8278,2,47.6187,-122.33
505522,SALMON CREEK POST ACUTE & REHABILITATION,VANCOUVER,98686,Clark,For profit - Corporation,120,2,2,3,3,2.16878,0.66814,3.9347,65.5,0,0,45.7219,-122.64
505525,LACEY POST ACUTE & REHABILITATION,LACEY,98503,Thurston,For profit - Limited Liability company,120,4,3,5,3,2.1261,0.63576,3.87215,55.7,7443,1,47.0006,-122.83
505526,LIFE CARE CENTER OF SOUTH HILL,PUYALLUP,98374,Pierce,For profit - Corporation,100,5,4,5,3,2.30203,1.09883,4.83045,49.6,17388,1,47.1686,-122.29
505527,PINE RIDGE POST ACUTE,EDMONDS,98026,Snohomish,For profit - Limited Liability company,80,3,2,4,5,2.38392,0.89998,4.21174,20.8,16445,1,47.8087,-122.34
505528,LEA HILL REHABILITATION AND CARE CENTER,AUBURN,98092,King,Non profit - Corporation,36,5,4,5,4,2.69375,1.02064,4.60262,43.2,0,0,47.3152,-122.2
505529,AVAMERE TRANSITIONAL CARE OF PUGET SOUND,TACOMA,98465,Pierce,For profit - Limited Liability company,60,4,3,4,5,2.56608,1.65059,4.91968,30,35875,1,47.2551,-122.52
505530,WASHINGTON STATE WALLA WALLA VETERANS HOME,WALLA WALLA,99362,Walla Walla,Government - State,80,5,4,4,5,4.4983,1.55991,6.07926,19.2,15935,1,46.0421,-118.3
505531,HERON'S KEY,GIG HARBOR,98332,Pierce,Non profit - Corporation,30,5,5,5,5,2.81509,1.72024,4.8662,28,15015,1,47.3598,-122.59
505532,CEDAR RIVER HEALTHCARE CENTER,RENTON,98055,King,For profit - Corporation,60,3,2,5,4,2.62572,1.08275,4.96005,47.7,74815,1,47.4467,-122.2
505533,EVERETT TRANSITIONAL CARE SERVICES,EVERETT,98201,Snohomish,Non profit - Other,62,5,5,5,4,2.71813,1.63803,5.14601,57.3,21863,1,47.9765,-122.22
505534,Transitional Care Of Seattle,SEATTLE,98144,King,For profit - Limited Liability company,165,4,3,4,5,5.19521,1.64724,7.90296,35.3,0,0,47.5955,-122.3
505535,Bridges To Home,SHORELINE,98133,King,Non profit - Corporation,12,2,2,NA,NA,NA,NA,NA,NA,8278,3,47.7665,-122.34
505536,THREE RIVERS CARE,CENTRALIA,98531,Lewis,For profit - Limited Liability company,83,5,5,5,3,2.51157,0.57728,4.12626,NA,0,0,46.7196,-122.97
505537,Montesano Health-Rehab Center,MONTESANO,98563,Grays Harbor,For profit - Limited Liability company,94,NA,NA,NA,NA,NA,NA,NA,NA,0,0,46.9881,-123.59
50A181,COLUMBIA BASIN HOSPITAL,EPHRATA,98823,Grant,Government - Hospital district,12,3,4,4,1,3.0116,1.10428,4.72244,23.5,0,0,47.3143,-119.54
50A260,FIRCREST NURSING FACILITY,SEATTLE,98155,King,Government - State,110,5,4,5,4,7.23964,0.65628,9.20184,41.5,0,0,47.7631,-122.29
50A261,YAKIMA VALLEY SCHOOL,SELAH,98942,Yakima,Government - State,112,3,2,3,5,13.03666,1.8715,15.7164,32.3,0,0,46.6592,-120.54
50A263,LAKELAND VILLAGE NURSING FACILITY,MEDICAL LAKE,99022,Spokane,Government - State,93,4,2,5,5,8.21278,1.89683,10.51683,32.4,0,0,47.6182,-117.71
