ccn,provider_name,city,zip_code,county,ownership_type,certified_beds,overall_rating,health_inspection_rating,qm_rating,staffing_rating,aide_hours,rn_hours,total_nursing_hours,staff_turnover,total_fines,total_penalties,latitude,longitude
505270,AVAMERE REHABILITATION AT PARK WEST,SEATTLE,98116,King,For profit - Limited Liability company,137,2,2,4,3,2.5621,0.60726,4.2121,52.4,29820,2,47.588,-122.39
505272,LIFE CARE CENTER OF MOUNT VERNON,MOUNT VERNON,98273,Skagit,For profit - Corporation,121,1,1,4,3,2.3345,0.81165,4.06371,59.3,254316,4,48.4217,-122.35
505273,LACAMAS CREEK POST ACUTE,CAMAS,98607,Clark,For profit - Limited Liability company,83,5,5,4,4,2.83168,0.59439,4.54403,48.8,0,0,45.5888,-122.41
505275,Colville Health and Rehabilitation of Cascadia,COLVILLE,99114,Stevens,For profit - Corporation,92,1,1,2,2,2.1878,0.61565,3.60967,67.4,68351,2,48.54,-117.89
505276,Frontier Rehabilitation and Extended Care,LONGVIEW,98632,Cowlitz,For profit - Corporation,140,4,4,3,4,2.70481,0.44433,4.14326,35,0,0,46.137,-122.92
505280,RENTON HEALTH & REHABILITATION,RENTON,98057,King,For profit - Limited Liability company,99,2,2,3,4,2.6808,1.11315,4.46167,42.7,256725,2,47.4822,-122.22
505283,CLARKSTON HEALTH AND REHAB OF CASCADIA,CLARKSTON,99403,Asotin,For profit - Limited Liability company,90,3,2,5,3,2.04296,1.10423,3.54408,31.3,32711,1,46.4063,-117.05
505289,BIRCH CREEK POST ACUTE & REHABILITATION,TACOMA,98409,Pierce,For profit - Limited Liability company,124,2,2,4,3,2.13925,0.67592,3.68863,49.6,0,0,47.2065,-122.5
505290,BELMONT TERRACE,BREMERTON,98310,Kitsap,For profit - Corporation,102,3,2,5,4,2.18633,0.9989,3.93382,35.7,0,0,47.5827,-122.63
505294,BEACON HILL REHABILITATION,LONGVIEW,98632,Cowlitz,For profit - Corporation,67,5,5,5,4,2.35088,0.90228,4.147,43.7,25350,1,46.173,-122.92
505296,Avalon Healthcare Bellingham,BELLINGHAM,98225,Whatcom,For profit - Corporation,105,5,4,5,4,2.5369,1.23272,4.48246,52.4,32298,1,48.7722,-122.47
505299,PUGET SOUND CARE,OLYMPIA,98502,Thurston,For profit - Limited Liability company,108,4,4,4,3,2.66682,0.56155,3.97756,53.4,8018,1,47.0418,-122.95
505303,REGENCY OMAK,OMAK,98841,Okanogan,For profit - Corporation,56,5,5,4,5,2.47962,0.83665,3.69757,39.6,0,0,48.424,-119.51
505304,RAINIER REHABILITATION,PUYALLUP,98372,Pierce,For profit - Corporation,117,5,5,5,3,3.2439,1.18444,5.25142,20.5,0,0,47.1809,-122.28
505306,LIFE CARE CENTER OF PORT TOWNSEND,PORT TOWNSEND,98368,Jefferson,For profit - Limited Liability company,94,5,4,5,4,2.38867,1.06549,3.89735,54,34808,1,48.1126,-122.77
505309,REGENCY COUPEVILLE REHAB AND NURSING CENTER,COUPEVILLE,98239,Island,For profit - Limited Liability company,112,2,2,3,3,2.33106,0.66755,3.96089,50,131131,4,48.2157,-122.68
